Rama,código,Dewey
Epistemología,10EP,121-00
Fuentes del conocimiento,11EP,121-30
Verdad y justificación,12EP,121-60
Escepticismo,13EP,121-70
Metafísica,20MT,110-00
Ontología general,21MT,111-00
Identidad y persistencia,22MT,111-50
Causalidad y modalidad,23MT,122-00
Filosofía de la Ciencia,30FC,501-00
Estructura de las teorías,31FC,501-20
Explicación científica,32FC,501-40
Realismo y antirrealismo,33FC,501-50
Filosofía de la Física,34FC,530-01
Lógica,40LG,160-00
Lógica clásica,41LG,160-10
Lógica modal,42LG,160-30
Filosofía de la lógica,43LG,160-50
Ética,50ET,170-00
Metaética,51ET,170-10
Ética normativa,52ET,171-00
Ética aplicada,53ET,172-00
Historia de la Filosofía,60HF,109-00
Filosofía antigua,61HF,182-00
Filosofía medieval,62HF,189-00
Filosofía moderna,63HF,190-00
Filosofía contemporánea,64HF,146-00
Filosofía de la Mente,70FM,128-20
Conciencia,71FM,126-00
Intencionalidad,72FM,128-30
Mente y cuerpo,73FM,128-10
