Rama,código,Dewey
Pedagogía General,10PD,370-11
Teorías del aprendizaje,11PD,370-152
Constructivismo,12PD,370-152
Enfoques sociocognitivos,13PD,370-152
Diseño Curricular,20DC,375-00
Planificación educativa,21DC,375-00
Objetivos y competencias,22DC,375-006
Secuenciación y progresión,23DC,375-00
Evaluación Educativa,30EE,371-26
Evaluación formativa,31EE,371-264
Evaluación sumativa,32EE,371-264
Taxonomía de Bloom,33EE,371-26
Diseño de instrumentos,34EE,371-26
Educación Superior,40ES,378-00
Didáctica universitaria,41ES,378-125
Gestión académica,42ES,378-00
Ética docente,43ES,378-00
Aprendizaje Basado en Problemas,50PB,371-36
Diseño de problemas,51PB,371-36
Facilitación y tutoría,52PB,371-36
Evaluación en PBL,53PB,371-36
Tecnología Educativa,60TE,371-33
Entornos virtuales de aprendizaje,61TE,371-334
Herramientas digitales,62TE,371-33
Recursos educativos abiertos,63TE,371-33
