Rama,código,Dewey
Lingüística General,10LG,410-00
Fonología y fonética,11LG,414-00
Morfología y sintaxis,12LG,415-00
Semántica y pragmática,13LG,401-43
Adquisición del Lenguaje,20AL,401-93
Adquisición de lengua materna,21AL,401-93
Adquisición de segundas lenguas,22AL,418-007
Psicolingüística,23AL,401-9
Lenguas Modernas,30LM,418-00
Español,31LM,460-00
Inglés,32LM,420-00
Alemán,33LM,430-00
Ruso,34LM,491-7
Portugués,35LM,469-00
Chino Mandarín,36LM,495-1
Lingüística Aplicada,40LA,418-00
Traducción e interpretación,41LA,418-02
Escritura académica,42LA,808-066
Comunicación científica,43LA,501-4
