Rama,código,Dewey
Fisiología,10FS,612-00
Fisiología del ejercicio,11FS,612-044
Fisiología metabólica,12FS,612-39
Sistema nervioso y cognición,13FS,612-82
Nutrición,20NT,613-2
Macronutrientes,21NT,613-28
Micronutrientes y suplementación,22NT,613-285
Nutrición y rendimiento,23NT,613-711
Dietas y protocolos,24NT,613-25
Actividad Física,30AF,613-71
Entrenamiento de fuerza,31AF,613-713
Entrenamiento cardiovascular,32AF,613-712
Movilidad y flexibilidad,33AF,613-71
Programación y periodización,34AF,613-711
Salud General,40SG,613-00
Sueño y recuperación,41SG,613-794
Salud mental y bienestar,42SG,616-89
Hábitos y rutinas,43SG,613-00
