Rama,código,Dewey
Teoría Musical,10TM,781-00
Armonía y contrapunto,11TM,781-25
Ritmo y métrica,12TM,781-22
Forma y análisis musical,13TM,781-8
Historia de la Música,20HM,780-9
Música antigua y barroca,21HM,780-902
Música clásica y romántica,22HM,780-903
Música moderna y contemporánea,23HM,780-904
Violín,30VI,787-2
Técnica y postura,31VI,787-22
Repertorio y estudios,32VI,787-2
Lectura de partituras,33VI,781-42
Apreciación Musical,40AM,781-17
Análisis de obras,41AM,781-8
Géneros y estilos,42AM,781-6
